system:index,saltmarsh,.geo
258,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.19857006142539,26.638057530345616]}"
259,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.60926277826204,-19.14179614742503]}"
260,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.81114828472927,36.852710794540286]}"
261,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.69621843170019,39.339876321682006]}"
262,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-164.08730285984853,59.93061010662762]}"
263,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[139.2889501156155,-35.773115486085445]}"
264,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.26664571694285,58.70872165716824]}"
265,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.8811466085542,55.88630486599312]}"
266,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.02960357291695,58.87473032167353]}"
267,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.71361538234777,56.13882129235912]}"
